timestamp,FR_Hip,FR_Thigh,FR_Calf,FL_Hip,FL_Thigh,FL_Calf,BR_Hip,BR_Thigh,BR_Calf,BL_Hip,BL_Thigh,BL_Calf
1782329020.744,90.00,22.17,109.53,93.00,127.42,70.35,97.00,55.65,107.01,97.00,140.83,74.47
1782329020.855,90.00,24.09,113.92,93.00,129.92,73.67,97.00,53.62,104.31,97.00,138.91,70.08
1782329020.968,90.00,27.02,118.14,93.00,133.10,76.70,97.00,52.66,100.77,97.00,135.98,65.86
1782329021.080,90.00,30.71,121.83,93.00,135.76,80.02,97.00,51.46,97.53,97.00,132.29,62.17
1782329021.193,90.00,34.84,124.66,93.00,138.29,83.18,97.00,50.68,94.29,97.00,128.16,59.34
1782329021.305,90.00,39.14,126.37,93.00,139.57,86.47,97.00,48.95,91.98,97.00,123.86,57.63
1782329021.418,90.00,43.39,126.84,93.00,140.94,89.12,97.00,48.09,89.67,97.00,119.61,57.16
1782329021.603,90.00,46.67,126.33,93.00,141.58,90.91,97.00,47.35,88.29,97.00,116.33,57.67
1782329021.714,90.00,50.57,124.67,93.00,142.58,92.39,97.00,47.28,86.71,97.00,112.43,59.33
1782329021.826,90.00,54.24,122.02,93.00,143.17,93.18,97.00,47.35,85.81,97.00,108.76,61.98
1782329021.939,90.00,59.92,116.34,93.00,134.42,96.61,97.00,33.58,92.39,97.00,109.80,60.70
1782329022.052,90.00,59.94,115.46,93.00,138.62,94.14,97.00,29.38,94.86,97.00,110.69,60.76
1782329022.163,90.00,58.70,114.83,93.00,142.08,91.29,97.00,25.92,97.71,97.00,111.49,62.04
1782329022.277,90.00,57.63,113.16,93.00,144.66,88.05,97.00,23.34,100.95,97.00,113.27,63.35
1782329022.504,90.00,56.88,112.56,93.00,145.40,86.64,97.00,22.60,102.36,97.00,113.92,64.19
1782329022.615,90.00,55.13,110.50,93.00,146.48,82.83,97.00,21.52,106.17,97.00,116.03,66.39
1782329022.726,90.00,52.77,108.38,93.00,146.35,78.68,97.00,21.65,110.32,97.00,118.03,69.31
1782329022.839,90.00,51.19,105.27,93.00,145.02,74.31,97.00,22.98,114.69,97.00,120.86,71.98
1782329022.956,90.00,48.87,102.52,93.00,142.58,69.96,97.00,25.42,119.04,97.00,123.02,75.39
1782329023.069,90.00,47.44,99.16,93.00,139.24,65.96,97.00,28.76,123.04,97.00,125.69,78.47
1782329023.181,90.00,45.52,96.28,93.00,135.29,62.65,97.00,32.71,126.35,97.00,127.53,81.89
1782329023.294,90.00,43.91,93.52,93.00,131.05,60.35,97.00,36.95,128.65,97.00,129.13,85.07
1782329023.406,90.00,43.05,90.79,93.00,126.75,59.25,97.00,41.25,129.75,97.00,130.81,87.71
1782329023.594,90.00,42.47,88.51,93.00,122.58,59.39,97.00,45.42,129.61,97.00,132.14,89.91
1782329023.706,90.00,41.40,87.16,93.00,118.60,60.71,97.00,49.40,128.29,97.00,132.47,91.80
1782329023.817,90.00,47.25,113.01,93.00,132.82,63.31,97.00,50.33,113.50,97.00,125.26,63.31
1782329023.928,90.00,46.24,113.83,93.00,134.07,62.35,97.00,51.93,112.20,97.00,124.37,64.01
1782329024.039,90.00,47.12,113.11,93.00,133.10,63.10,97.00,50.68,113.22,97.00,125.15,63.39
1782329024.150,90.00,46.72,113.44,93.00,133.76,62.59,97.00,51.53,112.53,97.00,124.80,63.67
1782329024.260,90.00,47.00,113.21,93.00,133.31,62.93,97.00,50.94,113.00,97.00,125.05,63.48
1782329024.372,90.00,46.67,113.48,93.00,133.64,62.68,97.00,51.37,112.66,97.00,124.76,63.70
1782329024.506,90.00,46.92,113.27,93.00,133.49,62.79,97.00,51.18,112.81,97.00,124.98,63.53
1782329024.617,90.00,46.89,113.30,93.00,133.57,62.73,97.00,51.28,112.73,97.00,124.95,63.55
1782329024.728,90.00,46.97,113.24,93.00,133.56,62.74,97.00,51.27,112.74,97.00,125.02,63.50
1782329024.839,90.00,46.93,113.27,93.00,133.64,62.68,97.00,51.38,112.65,97.00,124.99,63.52
1782329024.950,90.00,47.01,113.21,93.00,133.64,62.68,97.00,51.37,112.66,97.00,125.05,63.47
1782329025.061,90.00,47.01,113.21,93.00,134.03,62.38,97.00,51.89,112.24,97.00,125.05,63.47
1782329025.174,90.00,47.04,113.18,93.00,133.72,62.62,97.00,51.47,112.57,97.00,125.09,63.44
1782329025.285,90.00,47.01,113.21,93.00,133.80,62.55,97.00,51.59,112.48,97.00,125.05,63.47
1782329025.508,90.00,47.07,113.15,93.00,133.86,62.51,97.00,51.66,112.43,97.00,125.11,63.42
1782329025.620,90.00,47.07,113.16,93.00,133.85,62.52,97.00,51.65,112.43,97.00,125.11,63.43
1782329025.731,90.00,47.10,113.13,93.00,133.94,62.45,97.00,51.77,112.34,97.00,125.13,63.41
1782329025.842,90.00,47.09,113.14,93.00,133.94,62.45,97.00,51.76,112.34,97.00,125.13,63.41
1782329025.953,90.00,47.12,113.12,93.00,133.97,62.43,97.00,51.80,112.31,97.00,125.15,63.39
1782329026.064,90.00,47.15,113.09,93.00,133.99,62.41,97.00,51.83,112.28,97.00,125.18,63.37
1782329026.174,90.00,47.17,113.07,93.00,134.02,62.39,97.00,51.87,112.26,97.00,125.20,63.35
1782329026.286,90.00,47.17,113.08,93.00,134.08,62.35,97.00,51.95,112.19,97.00,125.19,63.36
1782329026.398,90.00,47.23,113.03,93.00,134.08,62.35,97.00,51.94,112.20,97.00,125.25,63.32
1782329026.510,90.00,47.22,113.03,93.00,134.14,62.30,97.00,52.02,112.13,97.00,125.24,63.32
1782329026.621,90.00,47.28,112.98,93.00,134.13,62.31,97.00,52.02,112.14,97.00,125.29,63.28
1782329026.732,90.00,47.27,112.99,93.00,134.19,62.26,97.00,52.09,112.07,97.00,125.29,63.29
1782329026.844,90.00,47.13,113.10,93.00,134.36,62.14,97.00,52.32,111.90,97.00,125.16,63.38
1782329026.955,90.00,47.33,112.94,93.00,134.25,62.22,97.00,52.17,112.01,97.00,125.33,63.25
1782329027.066,90.00,47.36,112.92,93.00,134.27,62.20,97.00,52.21,111.98,97.00,125.36,63.23
1782329027.179,90.00,47.38,112.90,93.00,134.30,62.18,97.00,52.24,111.95,97.00,125.38,63.21
1782329027.289,90.00,47.41,112.88,93.00,134.33,62.15,97.00,52.28,111.92,97.00,125.40,63.19
1782329027.401,90.00,47.43,112.86,93.00,134.36,62.13,97.00,52.32,111.89,97.00,125.42,63.18
1782329027.647,90.00,47.49,112.81,93.00,134.42,62.08,97.00,52.40,111.82,97.00,125.48,63.14
1782329027.761,90.00,47.52,112.79,93.00,134.45,62.06,97.00,52.44,111.79,97.00,125.50,63.12
1782329027.873,90.00,47.55,112.77,93.00,134.48,62.04,97.00,52.48,111.76,97.00,125.52,63.10
1782329027.984,90.00,47.57,112.74,93.00,134.51,62.02,97.00,52.52,111.73,97.00,125.54,63.08
1782329028.096,90.00,47.60,112.72,93.00,134.54,62.00,97.00,52.56,111.70,97.00,125.57,63.06
1782329028.207,90.00,47.63,112.70,93.00,134.57,61.98,97.00,52.60,111.67,97.00,125.59,63.05
1782329028.318,90.00,47.65,112.68,93.00,134.60,61.96,97.00,52.64,111.64,97.00,125.61,63.03
1782329028.504,90.00,47.70,112.64,93.00,134.64,61.92,97.00,52.70,111.59,97.00,125.65,63.00
1782329028.616,90.00,47.72,112.62,93.00,134.67,61.90,97.00,52.74,111.56,97.00,125.67,62.98
1782329028.730,90.00,47.75,112.60,93.00,134.70,61.88,97.00,52.78,111.52,97.00,125.70,62.96
1782329028.844,90.00,47.82,112.55,93.00,134.70,61.88,97.00,52.77,111.53,97.00,125.75,62.92
1782329028.958,90.00,47.85,112.52,93.00,134.73,61.86,97.00,52.81,111.50,97.00,125.78,62.90
1782329029.070,90.00,47.87,112.50,93.00,134.75,61.84,97.00,52.85,111.47,97.00,125.80,62.88
1782329029.186,90.00,47.90,112.47,93.00,134.78,61.82,97.00,52.89,111.44,97.00,125.83,62.86
1782329029.299,90.00,47.93,112.45,93.00,134.81,61.79,97.00,52.92,111.41,97.00,125.85,62.84
1782329029.411,90.00,47.96,112.43,93.00,134.84,61.77,97.00,52.96,111.38,97.00,125.88,62.82
1782329029.526,90.00,47.99,112.40,93.00,134.86,61.75,97.00,53.00,111.35,97.00,125.90,62.80
1782329029.639,90.00,48.02,112.38,93.00,134.89,61.73,97.00,53.03,111.32,97.00,125.93,62.78
1782329029.754,90.00,47.97,112.42,93.00,134.92,61.71,97.00,53.07,111.29,97.00,125.89,62.81
1782329029.866,90.00,48.04,112.37,93.00,134.98,61.67,97.00,53.15,111.22,97.00,125.94,62.77
1782329029.978,90.00,48.06,112.34,93.00,135.01,61.65,97.00,53.19,111.19,97.00,125.96,62.75
1782329030.090,90.00,48.09,112.32,93.00,135.03,61.63,97.00,53.23,111.16,97.00,125.99,62.73
